problem_solution_key,id,title,solution_column,solution_index,source_broad_tag,source_broad_score,BACKTRACKING,BFS,BINARY_SEARCH,BITMASK,BRUTE_FORCE,COMBINATORICS,DFS,DIJKSTRA,DP,FENWICK_TREE,GCD_LCM,GEOMETRY,GRAPH,GREEDY,MATH,MODULAR_ARITHMETIC,PARAMETRIC_SEARCH,PREFIX_SUM,PRIORITY_QUEUE,SEGMENT_TREE,SIEVE,SIMULATION,SORTING,STACK,TOPO_SORT,TREE,TWO_POINTERS,UNION_FIND,recheck_best_candidate,recheck_best_score,recheck_decision,recheck_reason
1367_C_solution_1,1367_C,Social Distance,solution_1,1,GREEDY,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SORTING,0,KEEP_ORIGINAL,
1367_C_solution_2,1367_C,Social Distance,solution_2,2,GREEDY,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SORTING,0,KEEP_ORIGINAL,
1367_C_solution_2,1367_C,Social Distance,solution_2,2,MATH,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCD_LCM,0,KEEP_ORIGINAL,
487_A_solution_16,487_A,Fight the Monster,solution_16,16,MATH,80,,,0,,100,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,100,KEEP_ORIGINAL,"필요 HP 계산을 위해 단순 나눗셈과 올림/내림 수식을 사용한 수준이며, 복잡한 정수론적 성질을 이용한 것은 아님"
1367_C_solution_3,1367_C,Social Distance,solution_3,3,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"정렬, DP, 세그먼트 트리 등 더 구체적인 알고리즘이 필요하지 않은 단순 그리디 배치 문제임"
1367_C_solution_4,1367_C,Social Distance,solution_4,4,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,단순 선형 탐색 기반의 그리디 배치 문제로 다른 특수 알고리즘의 개입 여지가 없음
1367_C_solution_5,1367_C,Social Distance,solution_5,5,GREEDY,85,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,정렬이나 복잡한 자료구조 없이 단순히 순차적으로 최적의 선택을 하는 전형적인 그리디 풀이임.
1367_C_solution_6,1367_C,Social Distance,solution_6,6,GREEDY,85,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,최적의 배치를 위한 거리 계산 자체가 그리디 전략의 수학적 구현임.
1367_C_solution_6,1367_C,Social Distance,solution_6,6,MATH,95,,,0,,0,0,,,0,,0,0,,85,,0,0,,,,0,,,,,,,,GREEDY,85,KEEP_ORIGINAL,구간 거리를 이용한 나눗셈 계산이 풀이의 핵심이므로 MATH 태그가 적절함.
1367_C_solution_7,1367_C,Social Distance,solution_7,7,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,특별한 보조 자료구조 없이 단순 순차 선택으로 최적해를 구하는 그리디 방식이 적절함
1367_C_solution_8,1367_C,Social Distance,solution_8,8,GREEDY,80,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,수식 기반 계산 자체가 그리디한 선택의 결과물을 한 번에 구하는 것이므로 적절함
1367_C_solution_8,1367_C,Social Distance,solution_8,8,MATH,95,,,0,,0,0,,,0,,0,0,,80,,0,0,,,,0,,,,,,,,GREEDY,80,KEEP_ORIGINAL,단순 산술 계산이지만 문제 해결의 핵심이 수식 도출에 있으므로 MATH가 적절함
1367_C_solution_9,1367_C,Social Distance,solution_9,9,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,"가장 왼쪽에 배치하는 단순 탐욕 전략이 최적이며, 다른 복잡한 자료구조나 알고리즘이 필요하지 않음"
1367_C_solution_10,1367_C,Social Distance,solution_10,10,GREEDY,90,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,수식 자체가 탐욕적인 최적 배치를 계산하는 것이므로 GREEDY가 적절함
1367_C_solution_10,1367_C,Social Distance,solution_10,10,MATH,85,,,0,,0,0,,,0,,0,0,,90,,0,0,,,,0,,,,,,,,GREEDY,90,KEEP_ORIGINAL,"사칙연산과 몫 연산을 이용한 거리 계산이 핵심이므로 MATH 태그가 적절하며, 이는 GREEDY 전략을 구현하기 위한 수단임"
1367_C_solution_11,1367_C,Social Distance,solution_11,11,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"전형적인 구간 채우기 그리디 문제이며, 다른 구체적인 자료구조나 알고리즘 없이 단순 산술 계산으로 해결됩니다."
1367_C_solution_11,1367_C,Social Distance,solution_11,11,MATH,70,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,단순 나눗셈 연산이 포함되어 있으나 핵심 논리는 그리디한 배치 전략에 있습니다.
1367_C_solution_12,1367_C,Social Distance,solution_12,12,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"전형적인 그리디 문제이며, 단순 반복문과 산술 연산으로 최적해를 구할 수 있습니다."
1367_C_solution_12,1367_C,Social Distance,solution_12,12,MATH,70,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,"정수 나눗셈을 통한 개수 계산이 포함되어 있으나, 핵심은 그리디한 배치 전략입니다."
1367_C_solution_15,1367_C,Social Distance,solution_15,15,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,"가장 앞단부터 채워 나가는 방식이 명확한 최적해를 제공하며, 다른 구체적 알고리즘이 필요하지 않음"
1367_C_solution_16,1367_C,Social Distance,solution_16,16,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,구간 내 최대 배치 수를 구하는 단순 그리디 계산임
1367_C_solution_16,1367_C,Social Distance,solution_16,16,MATH,60,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,구간 길이 기반의 단순 산술 계산임
1367_C_solution_19,1367_C,Social Distance,solution_19,19,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,20,0,TWO_POINTERS,20,KEEP_ORIGINAL,구체적인 자료구조 없이 단순 산술 계산 기반의 그리디 선택이 최적임을 알 수 있다.
1367_C_solution_19,1367_C,Social Distance,solution_19,19,MATH,60,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,"단순 나눗셈 수준의 산술 연산이며, 핵심은 배치 전략(Greedy)에 있다."
1367_C_solution_20,1367_C,Social Distance,solution_20,20,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"누적합은 단순 검증 도구이며, 핵심 논리는 그리디한 배치에 있다."
1367_C_solution_13,1367_C,Social Distance,solution_13,13,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"전형적인 간격 최적화 Greedy 문제이며, 다른 구체적인 알고리즘으로 대체할 필요 없이 수식으로 완결됨"
1367_C_solution_13,1367_C,Social Distance,solution_13,13,MATH,90,,,0,,0,40,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,"단순한 나눗셈 기반의 간격 계산이므로 MATH 태그가 적절하며, 핵심 논리는 GREEDY에 기반함"
1367_C_solution_14,1367_C,Social Distance,solution_14,14,GREEDY,90,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"가장 왼쪽부터 배치하는 단순 Greedy 전략이 최적해를 보장하며, 이를 충실히 구현함"
1367_C_solution_17,1367_C,Social Distance,solution_17,17,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,"단순한 수식 기반의 그리디 배치 문제로, 다른 구체적인 알고리즘으로 대체될 여지가 없음"
1367_C_solution_17,1367_C,Social Distance,solution_17,17,MATH,90,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,"단순 산술 연산(나눗셈, 몫)을 통한 개수 계산이므로 MATH 태그가 적절함"
1367_C_solution_18,1367_C,Social Distance,solution_18,18,GREEDY,95,,,0,,,,,,0,0,,,0,,,,0,,0,0,,,0,0,,,0,0,SORTING,0,KEEP_ORIGINAL,전형적인 그리디 배치 및 단순 산술 문제임
1367_C_solution_18,1367_C,Social Distance,solution_18,18,MATH,90,,,0,,0,0,,,0,,0,0,,95,,0,0,,,,0,,,,,,,,GREEDY,95,KEEP_ORIGINAL,구간 길이 기반의 단순 나눗셈 연산이므로 MATH가 적절함
487_A_solution_20,487_A,Fight the Monster,solution_20,20,MATH,85,,,0,,95,0,,,0,,0,0,,0,,0,0,,,,0,,,,,,,,BRUTE_FORCE,95,KEEP_ORIGINAL,"필요 HP를 구하는 수식이 핵심적이지만, 전체 풀이의 틀은 브루트포스임"
1037_C_solution_3,1037_C,Equalize,solution_3,3,GREEDY,95,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,20,KEEP_ORIGINAL,"인접 원소 간의 단순 선택 문제이며, 상태 전이가 필요 없는 전형적인 그리디 문제임"
1037_C_solution_4,1037_C,Equalize,solution_4,4,GREEDY,95,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,20,KEEP_ORIGINAL,단순 인접 원소 비교를 통한 최적 선택 문제로 그리디가 가장 적절함
1037_C_solution_1,1037_C,Equalize,solution_1,1,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,"단순한 인접 요소 결정 문제로, 다른 구체적인 알고리즘이 개입될 여지가 없는 전형적인 그리디 문제임"
1037_C_solution_2,1037_C,Equalize,solution_2,2,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,인접한 두 요소의 최적 선택을 통해 전체 최적을 달성하는 전형적인 그리디 구조임
1037_C_solution_5,1037_C,Equalize,solution_5,5,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,인접 원소의 상태에 따른 단순 그리디 선택이 최적임이 보장됨
1037_C_solution_6,1037_C,Equalize,solution_6,6,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,인접 원소 기반의 단순 그리디 선택이 최적임
1037_C_solution_7,1037_C,Equalize,solution_7,7,GREEDY,90,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,20,KEEP_ORIGINAL,인접한 불일치 쌍을 즉시 해결하는 전형적인 그리디 전략임
1037_C_solution_8,1037_C,Equalize,solution_8,8,GREEDY,100,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,40,0,TWO_POINTERS,40,KEEP_ORIGINAL,인접 요소의 국소적 최적 선택이 전체 최적해를 보장하는 전형적인 그리디 문제임
1037_C_solution_9,1037_C,Equalize,solution_9,9,GREEDY,95,,,0,,,,,,40,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,40,KEEP_ORIGINAL,인접한 요소 간의 최적 선택이 전체 최적해를 결정하는 전형적인 그리디 문제임
1037_C_solution_10,1037_C,Equalize,solution_10,10,GREEDY,95,,,0,,,,,,40,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,40,KEEP_ORIGINAL,인접 요소 간의 최적 선택을 반복하는 전형적인 그리디 구조임
1037_C_solution_13,1037_C,Equalize,solution_13,13,GREEDY,95,,,0,,,,,,10,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,10,KEEP_ORIGINAL,"인접 요소 간의 선택 문제이며, 단순 그리디로 최적해가 보장되는 구조임"
1037_C_solution_14,1037_C,Equalize,solution_14,14,GREEDY,80,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,20,KEEP_ORIGINAL,불완전하지만 그리디한 선택을 통해 문제를 해결하려는 의도가 명확함
1037_C_solution_15,1037_C,Equalize,solution_15,15,GREEDY,95,,,0,,,,,,30,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,30,KEEP_ORIGINAL,"단순한 인접 원소 결정 문제로, 복잡한 DP 없이 그리디한 선택만으로 최적해가 보장됨"
1037_C_solution_16,1037_C,Equalize,solution_16,16,GREEDY,95,,,0,,,,,,30,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,30,KEEP_ORIGINAL,"단순한 인접 원소 처리 문제로, 그리디 전략이 최적해를 보장함"
1037_C_solution_11,1037_C,Equalize,solution_11,11,GREEDY,95,,,0,,,,,,40,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,40,KEEP_ORIGINAL,인접 요소 간의 단순 선택 문제로 그리디 전략이 최적임을 증명할 수 있음
1037_C_solution_12,1037_C,Equalize,solution_12,12,GREEDY,95,,,0,,,,,,40,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,40,KEEP_ORIGINAL,단순 인접 요소 비교를 통한 최적 선택 문제이므로 그리디가 가장 적절함
1037_C_solution_19,1037_C,Equalize,solution_19,19,GREEDY,95,,,0,,,,,,30,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,30,KEEP_ORIGINAL,인접한 원소 간의 최적 선택이 전체 최적해를 보장하는 전형적인 그리디 문제임
1037_C_solution_20,1037_C,Equalize,solution_20,20,GREEDY,95,,,0,,,,,,30,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,30,KEEP_ORIGINAL,로컬 최적해(인접 스왑)가 글로벌 최적해로 이어지는 구조임
1037_C_solution_17,1037_C,Equalize,solution_17,17,GREEDY,95,,,0,,,,,,30,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,30,KEEP_ORIGINAL,"인접 요소 간의 단순 선택 문제이므로 그리디 분류가 적절하며, 다른 구체적인 알고리즘이 핵심을 결정하지 않음"
1037_C_solution_18,1037_C,Equalize,solution_18,18,DP,95,,0,0,0,,,0,0,,0,,,,50,,,,0,,0,,,,,0,0,,,GREEDY,50,KEEP_ORIGINAL,상태 정의와 점화식이 명확하게 구현되어 있음
804_B_solution_1,804_B,Minimum number of steps,solution_1,1,MATH,95,,,0,,0,60,,,30,,0,0,,40,,90,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,90,KEEP_ORIGINAL,모듈러 연산과 지수적 증가 패턴 관찰이 핵심이므로 MATH 분류가 가장 적절함
804_B_solution_2,804_B,Minimum number of steps,solution_2,2,MATH,95,,,0,,0,60,,,30,,0,0,,40,,90,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,90,KEEP_ORIGINAL,수학적 패턴 인식과 모듈러 연산이 풀이의 전부이므로 MATH가 가장 적절함
804_B_solution_5,804_B,Minimum number of steps,solution_5,5,GREEDY,65,,,0,,,,,,20,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,20,KEEP_ORIGINAL,그리디한 선택(최소 단계)을 요구하지만 실제 풀이는 관찰을 통한 수학적 공식 적용이다.
804_B_solution_5,804_B,Minimum number of steps,solution_5,5,MATH,95,,,0,,0,70,,,20,,0,0,,65,,85,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,85,KEEP_ORIGINAL,모듈러 연산과 지수적 증가라는 수학적 성질이 문제 해결의 핵심이다.
804_B_solution_6,804_B,Minimum number of steps,solution_6,6,GREEDY,60,,,0,,,,,,40,0,,,0,,,,0,,0,0,,,0,0,,,0,0,DP,40,KEEP_ORIGINAL,그리디한 최적화 문제처럼 보이지만 실제로는 결정론적인 수학 공식 문제이다.
804_B_solution_6,804_B,Minimum number of steps,solution_6,6,MATH,95,,,0,,0,70,,,40,,0,0,,60,,85,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,85,KEEP_ORIGINAL,지수적 증가와 모듈러 연산이라는 수학적 특성이 풀이의 핵심이다.
804_B_solution_17,804_B,Minimum number of steps,solution_17,17,MATH,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCD_LCM,0,KEEP_ORIGINAL,
804_B_solution_18,804_B,Minimum number of steps,solution_18,18,MATH,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCD_LCM,0,KEEP_ORIGINAL,
804_B_solution_9,804_B,Minimum number of steps,solution_9,9,MATH,95,,,0,,0,60,,,10,,0,0,,10,,95,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,95,KEEP_ORIGINAL,모듈러 연산과 거듭제곱 패턴이 핵심인 전형적인 수학 문제임
804_B_solution_10,804_B,Minimum number of steps,solution_10,10,MATH,95,,,0,,0,60,,,10,,0,0,,10,,95,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,95,KEEP_ORIGINAL,등비수열의 성질을 이용한 전형적인 수학 문제임
804_B_solution_3,804_B,Minimum number of steps,solution_3,3,MATH,95,,,0,,0,70,,,30,,0,0,,20,,90,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,90,KEEP_ORIGINAL,모듈러 연산과 등비수열의 합이라는 구체적인 수학적 기법이 사용되었으므로 MATH 태그가 가장 적절함
804_B_solution_4,804_B,Minimum number of steps,solution_4,4,MATH,95,,,0,,0,70,,,20,,0,0,,30,,90,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,90,KEEP_ORIGINAL,기하급수적 증가(2^k)와 모듈러 연산이 풀이의 핵심이므로 MATH가 가장 정확함
804_B_solution_11,804_B,Minimum number of steps,solution_11,11,DP,95,,0,0,0,,,0,0,,0,,,,20,,,,30,,0,,,,,0,0,,,PREFIX_SUM,30,KEEP_ORIGINAL,명확한 점화식 f(n) = 2f(n-1) + 1이 존재하며 이를 이용해 상태를 전이시키므로 DP로 분류하는 것이 적절함
804_B_solution_11,804_B,Minimum number of steps,solution_11,11,MATH,85,,,0,,0,40,,,95,,0,0,,20,,90,0,,,,0,,,,,,,,DP,95,LIKELY_SPECIFIC_ALGORITHM,단순 MATH보다는 구체적인 DP 점화식 구현이 코드의 핵심 구조를 결정함
804_B_solution_12,804_B,Minimum number of steps,solution_12,12,DP,60,,0,0,0,,,0,0,,0,,,,20,,,,20,,0,,,,,0,0,,,PREFIX_SUM,20,REVIEW_NEEDED,역방향 순회 중 b = b * 2 연산이 사실상 DP의 상태 전이와 동일함. 다만 구현 형태가 매우 단순하여 MATH와 DP의 경계에 있음
804_B_solution_12,804_B,Minimum number of steps,solution_12,12,MATH,95,,,0,,0,40,,,60,,0,0,,20,,90,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,90,KEEP_ORIGINAL,2^n 형태의 지수적 증가를 다루는 수학적 통찰이 풀이의 핵심임
804_B_solution_19,804_B,Minimum number of steps,solution_19,19,MATH,95,,,0,,0,70,,,0,,0,0,,0,,85,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,85,KEEP_ORIGINAL,치환 규칙에 따른 수열의 합과 모듈러 연산이 핵심이므로 MATH 태그가 가장 적절하다.
804_B_solution_20,804_B,Minimum number of steps,solution_20,20,MATH,95,,,0,,0,70,,,0,,0,0,,0,,85,0,,,,0,,,,,,,,MODULAR_ARITHMETIC,85,KEEP_ORIGINAL,지수적 증가 패턴과 모듈러 연산을 다루는 수학 문제의 전형적인 풀이다.
