problem_solution_key,primary_algorithm_b1,primary_algorithm_b2,primary_match,confidence_b1,confidence_b2,max_tag_diff,max_tag_diff_tag,avg_tag_diff,compared_b1_is_boilerplate,compared_b2_is_boilerplate
1037_C_solution_14,GREEDY,GREEDY,True,HIGH,MEDIUM,40,IMPLEMENTATION,1.04,True,False
1037_C_solution_15,GREEDY,GREEDY,True,HIGH,HIGH,10,IMPLEMENTATION,0.29,True,False
1037_C_solution_16,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,0.88,True,False
1037_C_solution_17,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,0.83,True,False
1037_C_solution_18,DP,DP,True,HIGH,HIGH,30,IMPLEMENTATION,0.58,True,False
1037_C_solution_19,GREEDY,GREEDY,True,HIGH,HIGH,40,SIMULATION,0.67,True,False
1037_C_solution_2,GREEDY,GREEDY,True,HIGH,HIGH,10,STRING,0.08,True,False
1037_C_solution_20,GREEDY,GREEDY,True,HIGH,HIGH,10,DP,0.08,True,False
1037_C_solution_3,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,1.08,True,False
1037_C_solution_4,GREEDY,GREEDY,True,HIGH,HIGH,40,SIMULATION,1.12,True,False
1037_C_solution_5,GREEDY,GREEDY,True,HIGH,HIGH,20,IMPLEMENTATION,0.83,True,False
1037_C_solution_6,GREEDY,GREEDY,True,HIGH,HIGH,20,DP_1D,0.5,True,False
1037_C_solution_7,GREEDY,GREEDY,True,MEDIUM,MEDIUM,30,TWO_POINTERS,0.88,True,False
1037_C_solution_8,GREEDY,GREEDY,True,HIGH,HIGH,40,TWO_POINTERS,0.79,True,False
1037_C_solution_9,GREEDY,GREEDY,True,HIGH,HIGH,10,IMPLEMENTATION,0.25,True,False
1041_C_solution_1,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,0.96,True,False
1041_C_solution_10,GREEDY,GREEDY,True,HIGH,HIGH,40,PRIORITY_QUEUE,0.67,True,False
1041_C_solution_11,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,1.0,True,False
1041_C_solution_12,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,0.62,True,False
1041_C_solution_13,GREEDY,GREEDY,True,HIGH,HIGH,70,BINARY_SEARCH,1.25,True,False
1041_C_solution_14,BINARY_SEARCH,BINARY_SEARCH,True,MEDIUM,MEDIUM,20,IMPLEMENTATION,0.67,True,False
1041_C_solution_15,GREEDY,GREEDY,True,HIGH,HIGH,80,INTERVAL_GREEDY,0.79,True,False
1041_C_solution_16,GREEDY,GREEDY,True,HIGH,HIGH,20,SIMULATION,1.0,True,False
1041_C_solution_17,GREEDY,GREEDY,True,HIGH,HIGH,40,SWEEP_LINE,0.83,True,False
1041_C_solution_18,GREEDY,GREEDY,True,HIGH,HIGH,30,SIMULATION,0.79,True,False
1041_C_solution_19,GREEDY,GREEDY,True,HIGH,HIGH,75,BINARY_SEARCH,1.17,True,False
1041_C_solution_2,GREEDY,GREEDY,True,HIGH,HIGH,70,INTERVAL_GREEDY,0.88,True,False
1041_C_solution_20,GREEDY,GREEDY,True,HIGH,HIGH,70,BINARY_SEARCH,1.71,True,False
1041_C_solution_3,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,MEDIUM,50,BINARY_SEARCH,1.12,True,False
1041_C_solution_4,GREEDY,GREEDY,True,HIGH,HIGH,70,HASH_MAP,1.54,True,False
1041_C_solution_5,GREEDY,GREEDY,True,HIGH,HIGH,80,SORTING_GREEDY,2.33,True,False
1041_C_solution_6,GREEDY,GREEDY,True,HIGH,HIGH,20,SIMULATION,0.88,True,False
1041_C_solution_7,GREEDY,GREEDY,True,HIGH,HIGH,40,SORTING,1.25,True,False
1041_C_solution_8,GREEDY,GREEDY,True,HIGH,HIGH,40,SORTING,1.12,True,False
1041_C_solution_9,GREEDY,GREEDY,True,HIGH,HIGH,20,CUSTOM_SORTING,0.33,True,False
1056_E_solution_1,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,40,SIMULATION,1.0,True,False
1056_E_solution_10,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,SIMULATION,1.0,True,False
1056_E_solution_11,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,HASH_SET,0.96,True,False
1056_E_solution_12,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,SIMULATION,0.75,True,False
1056_E_solution_13,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,40,HASH,1.04,True,False
1056_E_solution_14,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,FAST_POWER,0.88,True,False
1056_E_solution_15,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,40,HASH,0.83,True,False
1056_E_solution_16,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,20,IMPLEMENTATION,0.46,True,False
1056_E_solution_17,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,50,HASH,1.29,True,False
1056_E_solution_18,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,50,HASH,0.71,True,False
1056_E_solution_19,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,MODULAR_ARITHMETIC,0.58,True,False
1056_E_solution_2,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,40,SIMULATION,0.96,True,False
1056_E_solution_20,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,MODULAR_ARITHMETIC,0.75,True,False
1056_E_solution_3,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,MATH,0.71,True,False
1056_E_solution_4,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,20,HASH,0.54,True,False
1056_E_solution_5,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,20,IMPLEMENTATION,0.5,True,False
1056_E_solution_6,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,20,IMPLEMENTATION,0.67,True,False
1056_E_solution_7,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,SIMULATION,0.5,True,False
1056_E_solution_8,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,50,SIMULATION,1.12,True,False
1056_E_solution_9,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,SIMULATION,0.29,True,False
1084_C_solution_1,DP,DP,True,HIGH,HIGH,30,MODULAR_ARITHMETIC,0.5,True,False
1084_C_solution_10,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,DP,0.42,True,False
1084_C_solution_11,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,30,DP_1D,0.62,True,False
1084_C_solution_12,DP,DP,True,HIGH,HIGH,30,IMPLEMENTATION,0.92,True,False
1084_C_solution_13,DP,DP,True,HIGH,HIGH,40,MATH,1.08,True,False
1084_C_solution_14,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,40,DP,0.79,True,False
1084_C_solution_15,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,40,STRING,1.21,True,False
1084_C_solution_16,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,DP,0.58,True,False
1084_C_solution_17,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,30,MATH,0.54,True,False
1084_C_solution_18,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,MATH,0.33,True,False
1084_C_solution_19,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,STRING,0.58,True,False
1084_C_solution_2,DP,DP,True,HIGH,HIGH,20,IMPLEMENTATION,0.67,True,False
1084_C_solution_20,DP,DP,True,HIGH,HIGH,40,PREFIX_SUM,0.83,True,False
1084_C_solution_3,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,30,DP_1D,0.67,True,False
1084_C_solution_4,DP,DP,True,HIGH,HIGH,10,IMPLEMENTATION,0.33,True,False
1084_C_solution_5,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,10,DP,0.38,True,False
1084_C_solution_6,DP,DP,True,HIGH,HIGH,40,PREFIX_SUM,0.75,True,False
1084_C_solution_7,DP,DP,True,HIGH,HIGH,20,STRING,0.42,True,False
1084_C_solution_8,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,DP,0.38,True,False
1084_C_solution_9,COMBINATORICS,COMBINATORICS,True,HIGH,HIGH,20,IMPLEMENTATION,0.75,True,False
1165_F2_solution_1,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,SIMULATION,0.71,True,False
1165_F2_solution_10,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,SIMULATION,1.38,True,False
1165_F2_solution_11,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,20,MATH,0.17,True,False
1165_F2_solution_12,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,50,SIMULATION,1.5,True,False
1165_F2_solution_13,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,20,PREFIX_SUM,0.29,True,False
1165_F2_solution_14,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,BOUND_SEARCH,1.71,True,False
1165_F2_solution_15,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,EVENT_SIMULATION,1.5,True,False
1165_F2_solution_16,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,BOUND_SEARCH,1.79,True,False
1165_F2_solution_17,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,30,SIMULATION,0.38,True,False
1165_F2_solution_18,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,55,BINARY_SEARCH,0.92,True,False
1165_F2_solution_19,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,30,BINARY_SEARCH,0.33,True,False
1165_F2_solution_2,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,20,SIMULATION,0.42,True,False
1165_F2_solution_20,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,SIMULATION,0.71,True,False
1165_F2_solution_3,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,60,BINARY_SEARCH,0.67,True,False
1165_F2_solution_4,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,50,BINARY_SEARCH,0.67,True,False
1165_F2_solution_5,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,MEDIUM,30,IMPLEMENTATION,0.75,True,False
1165_F2_solution_6,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,75,SIMULATION,1.42,True,False
1165_F2_solution_7,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,SORTING_GREEDY,1.04,True,False
1165_F2_solution_8,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,30,SIMULATION,0.5,True,False
1165_F2_solution_9,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,60,BINARY_SEARCH,1.79,True,False
1167_E_solution_1,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,GREEDY,1.17,True,False
1167_E_solution_10,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,30,GREEDY,0.79,True,False
1167_E_solution_11,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,70,RANGE_MIN_QUERY,2.0,True,False
1167_E_solution_12,BINARY_SEARCH,BINARY_SEARCH,True,HIGH,HIGH,80,CUSTOM_SORTING,1.83,True,False
1167_E_solution_13,TWO_POINTERS,BINARY_SEARCH,False,HIGH,HIGH,45,TWO_POINTERS,1.04,True,False
1167_E_solution_14,BINARY_SEARCH,BINARY_SEARCH,True,HIGH,HIGH,30,SIMULATION,1.17,True,False
1167_E_solution_15,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,BINARY_SEARCH,1.0,True,False
1167_E_solution_16,SEGMENT_TREE,SEGMENT_TREE,True,HIGH,HIGH,60,RANGE_SUM_QUERY,2.42,True,False
1167_E_solution_17,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,SLIDING_WINDOW,1.21,True,False
1167_E_solution_18,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,SLIDING_WINDOW,2.5,True,False
1167_E_solution_19,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,50,PREFIX_SUM,1.96,True,False
1167_E_solution_2,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,20,SORTING,0.42,True,False
1167_E_solution_20,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,60,SLIDING_WINDOW,2.08,True,False
1167_E_solution_3,BINARY_SEARCH,BINARY_SEARCH,True,HIGH,HIGH,40,PARAMETRIC_SEARCH,1.46,True,False
1167_E_solution_4,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,70,PREFIX_SUM,1.25,True,False
1167_E_solution_5,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,SLIDING_WINDOW,1.62,True,False
1167_E_solution_6,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,40,SORTING,1.54,True,False
1167_E_solution_7,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,60,COMBINATORICS,1.54,True,False
1167_E_solution_8,SEGMENT_TREE,SEGMENT_TREE,True,HIGH,HIGH,80,RANGE_MIN_QUERY,3.08,True,False
1167_E_solution_9,TWO_POINTERS,TWO_POINTERS,True,HIGH,HIGH,60,VARIABLE_WINDOW,1.88,True,False
1182_B_solution_1,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,GRID_TRAVERSAL,0.5,True,False
1182_B_solution_10,GRID_SIMULATION,GRID_SIMULATION,True,HIGH,HIGH,40,GRID_TRAVERSAL,0.5,True,False
1182_B_solution_11,IMPLEMENTATION,GRID_SIMULATION,False,HIGH,HIGH,20,BRUTE_FORCE,0.38,True,False
1182_B_solution_12,GRID_SIMULATION,GRID_SIMULATION,True,HIGH,HIGH,50,CONNECTED_COMPONENTS,1.33,True,False
1182_B_solution_13,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,BRUTE_FORCE,0.5,True,False
1182_B_solution_14,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,BRUTE_FORCE,0.42,True,False
1182_B_solution_15,IMPLEMENTATION,SIMULATION,False,HIGH,HIGH,20,GRID_TRAVERSAL,0.42,True,False
1182_B_solution_16,GRID_SIMULATION,SIMULATION,False,HIGH,HIGH,30,GREEDY,0.67,True,False
1182_B_solution_17,GRID_SIMULATION,IMPLEMENTATION,False,HIGH,HIGH,40,BRUTE_FORCE,0.42,True,False
1182_B_solution_18,GRID_SIMULATION,IMPLEMENTATION,False,HIGH,HIGH,60,BRUTE_FORCE,0.96,True,False
1182_B_solution_19,GRID_SIMULATION,IMPLEMENTATION,False,HIGH,HIGH,20,STRING,0.42,True,False
1182_B_solution_2,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,GRID_TRAVERSAL,0.33,True,False
1182_B_solution_20,GRID_SIMULATION,IMPLEMENTATION,False,HIGH,HIGH,40,GRID_TRAVERSAL,0.62,True,False
1182_B_solution_3,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,STRING,0.21,True,False
1182_B_solution_4,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,MEDIUM,40,GRID_SIMULATION,0.75,True,False
1182_B_solution_5,GRID_SIMULATION,SIMULATION,False,HIGH,HIGH,30,BRUTE_FORCE,0.92,True,False
1182_B_solution_6,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,HASH_SET,0.5,True,False
1182_B_solution_7,GRID_SIMULATION,IMPLEMENTATION,False,HIGH,HIGH,20,BRUTE_FORCE,0.42,True,False
1182_B_solution_8,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,50,HASH_SET,1.04,True,False
1182_B_solution_9,IMPLEMENTATION,GRID_SIMULATION,False,HIGH,HIGH,10,SIMULATION,0.12,True,False
1187_B_solution_1,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,60,HASH,0.71,True,False
1187_B_solution_10,BINARY_SEARCH,PARAMETRIC_SEARCH,False,HIGH,HIGH,15,BINARY_SEARCH,0.5,True,False
1187_B_solution_11,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,HASH,0.42,True,False
1187_B_solution_12,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,15,STRING,0.25,True,False
1187_B_solution_13,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,40,BOUND_SEARCH,0.83,True,False
1187_B_solution_14,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,HASH,0.42,True,False
1187_B_solution_15,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,COUNTING_SORT,1.25,True,False
1187_B_solution_16,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,GREEDY,0.42,True,False
1187_B_solution_17,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,20,BOUND_SEARCH,0.29,True,False
1187_B_solution_18,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,SIMULATION,0.83,True,False
1187_B_solution_19,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,40,COUNTING_SORT,0.58,True,False
1187_B_solution_2,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,10,STRING,0.08,True,False
1187_B_solution_20,HASH_MAP,IMPLEMENTATION,False,HIGH,HIGH,40,HASH,0.88,True,False
1187_B_solution_3,BINARY_SEARCH,BOUND_SEARCH,False,HIGH,HIGH,20,STRING,0.33,True,False
1187_B_solution_4,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,80,BOUND_SEARCH,0.88,True,False
1187_B_solution_5,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,10,IMPLEMENTATION,0.25,True,False
1187_B_solution_6,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,30,STRING,0.25,True,False
1187_B_solution_7,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,20,STRING,0.21,True,False
1187_B_solution_8,IMPLEMENTATION,IMPLEMENTATION,True,HIGH,HIGH,65,COUNTING_SORT,0.83,True,False
1187_B_solution_9,PARAMETRIC_SEARCH,PARAMETRIC_SEARCH,True,HIGH,HIGH,30,BOUND_SEARCH,0.58,True,False
1204_D1_solution_1,GREEDY,GREEDY,True,HIGH,HIGH,70,DP_1D,1.62,True,False
1204_D1_solution_10,GREEDY,GREEDY,True,HIGH,HIGH,50,STACK,0.96,True,False
1204_D1_solution_11,GREEDY,BRUTE_FORCE,False,HIGH,HIGH,55,BRUTE_FORCE,2.54,True,False
1204_D1_solution_12,GREEDY,GREEDY,True,HIGH,HIGH,20,IMPLEMENTATION,0.5,True,False
1204_D1_solution_13,GREEDY,GREEDY,True,HIGH,HIGH,45,STRING,0.46,True,False
1204_D1_solution_14,DP,DP,True,HIGH,HIGH,35,GREEDY,0.75,True,False
1204_D1_solution_15,GREEDY,GREEDY,True,HIGH,HIGH,40,LIS,1.46,True,False
1204_D1_solution_16,DP,DP,True,HIGH,HIGH,30,IMPLEMENTATION,0.29,True,False
1204_D1_solution_17,GREEDY,IMPLEMENTATION,False,MEDIUM,MEDIUM,30,BRUTE_FORCE,1.21,True,False
1204_D1_solution_18,GREEDY,GREEDY,True,HIGH,HIGH,40,STACK,0.62,True,False
1204_D1_solution_19,GREEDY,GREEDY,True,HIGH,MEDIUM,45,DP,1.42,True,False
1204_D1_solution_2,DP,GREEDY,False,HIGH,HIGH,30,SIMULATION,1.08,True,False
1204_D1_solution_20,BRUTE_FORCE,DP,False,HIGH,HIGH,80,DP_2D,3.38,True,False
1204_D1_solution_3,STACK,STACK,True,HIGH,HIGH,10,IMPLEMENTATION,0.29,True,False
1204_D1_solution_4,DP,DP,True,HIGH,HIGH,60,PREFIX_SUM,0.96,True,False
1204_D1_solution_5,LAZY_SEGMENT_TREE,SEGMENT_TREE,False,HIGH,HIGH,80,RANGE_MIN_QUERY,2.25,True,False
1204_D1_solution_6,STACK,STACK,True,HIGH,HIGH,30,SIMULATION,0.42,True,False
1204_D1_solution_7,GREEDY,GREEDY,True,HIGH,HIGH,20,IMPLEMENTATION,0.29,True,False
1204_D1_solution_8,GREEDY,GREEDY,True,HIGH,HIGH,20,IMPLEMENTATION,0.21,True,False
1204_D1_solution_9,GREEDY,GREEDY,True,HIGH,HIGH,30,STRING,0.42,True,False
1217_C_solution_1,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,50,BIT_MANIPULATION,1.54,True,False
1217_C_solution_10,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,20,SIMULATION,0.67,True,False
1217_C_solution_11,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,70,BITMASK_BRUTE_FORCE,1.46,True,False
1217_C_solution_12,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,70,BITMASK_BRUTE_FORCE,1.38,True,False
1217_C_solution_13,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,60,BITMASK_BRUTE_FORCE,1.42,True,False
1217_C_solution_14,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,70,BIT_MANIPULATION,1.33,True,False
1217_C_solution_15,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,60,BITMASK_BRUTE_FORCE,1.54,True,False
1217_C_solution_16,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,MEDIUM,45,IMPLEMENTATION,0.96,True,False
1217_C_solution_17,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,20,IMPLEMENTATION,0.58,True,False
1217_C_solution_18,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,50,BITMASK_BRUTE_FORCE,0.83,True,False
1217_C_solution_19,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,30,SIMULATION,0.92,True,False
1217_C_solution_2,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,40,SIMULATION,2.0,True,False
1217_C_solution_20,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,30,BIT_MANIPULATION,0.62,True,False
1217_C_solution_3,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,30,BIT_MANIPULATION,0.5,True,False
1217_C_solution_4,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,20,IMPLEMENTATION,0.42,True,False
1217_C_solution_5,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,60,STRING,1.54,True,False
1217_C_solution_6,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,50,BIT_MANIPULATION,1.12,True,False
1217_C_solution_7,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,50,SIMULATION,1.38,True,False
1217_C_solution_8,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,70,SIMULATION,0.92,True,False
1217_C_solution_9,BRUTE_FORCE,BRUTE_FORCE,True,HIGH,HIGH,20,STRING,0.33,True,False
126_B_solution_1,STRING,STRING,True,HIGH,HIGH,20,IMPLEMENTATION,0.33,True,False
126_B_solution_10,STRING_HASHING,BINARY_SEARCH,False,HIGH,HIGH,25,FIXED_WINDOW,0.92,True,False
126_B_solution_11,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,HASH,0.42,True,False
126_B_solution_12,KMP,KMP,True,HIGH,HIGH,15,STRING,0.21,True,False
126_B_solution_13,KMP,KMP,True,HIGH,HIGH,0,IMPLEMENTATION,0.0,True,False
126_B_solution_14,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,BINARY_SEARCH,0.92,True,False
126_B_solution_15,STRING,STRING,True,HIGH,HIGH,40,DP,0.96,True,False
126_B_solution_16,KMP,KMP,True,HIGH,HIGH,60,DP_1D,0.88,True,False
126_B_solution_17,KMP,KMP,True,HIGH,HIGH,60,DP_1D,0.79,True,False
126_B_solution_18,STRING,STRING,True,HIGH,HIGH,60,KMP,0.54,True,False
126_B_solution_19,KMP,KMP,True,HIGH,HIGH,20,DP,0.42,True,False
126_B_solution_2,KMP,KMP,True,HIGH,HIGH,60,DP_1D,0.83,True,False
126_B_solution_20,STRING,STRING,True,HIGH,HIGH,30,DP,0.5,True,False
126_B_solution_3,KMP,KMP,True,HIGH,HIGH,60,DP_1D,0.79,True,False
126_B_solution_4,STRING_HASHING,STRING_HASHING,True,HIGH,HIGH,30,BINARY_SEARCH,1.12,True,False
